,CBSACode,CBSATitle,geo_licode_n,geo_text,metro,mainmatch,matchtype,CSA,CSATitle,cbsa_nearest,cbsa_nearest_name,cbsa_nearest_distance
683,13500,"Bennettsville, SC","Florence, South Carolina Area","Florence, South Carolina Area",0,0,Driving Distance,,,22500.0,"Florence, SC",51.473766
684,24860,"Greenville-Anderson-Mauldin, SC","Greenville, South Carolina Area","Greenville, South Carolina Area",1,1,Main Match,273.0,"Greenville-Spartanburg-Anderson, SC",,,
685,43900,"Spartanburg, SC","Greenville, South Carolina Area","Greenville, South Carolina Area",1,0,CSA Match,273.0,"Greenville-Spartanburg-Anderson, SC",,,
686,23500,"Gaffney, SC","Greenville, South Carolina Area","Greenville, South Carolina Area",0,0,CSA Match,273.0,"Greenville-Spartanburg-Anderson, SC",,,
687,24940,"Greenwood, SC","Greenville, South Carolina Area","Greenville, South Carolina Area",0,0,CSA Match,273.0,"Greenville-Spartanburg-Anderson, SC",,,
688,42860,"Seneca, SC","Greenville, South Carolina Area","Greenville, South Carolina Area",0,0,CSA Match,273.0,"Greenville-Spartanburg-Anderson, SC",,,
689,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Myrtle Beach, South Carolina Area","Myrtle Beach, South Carolina Area",1,1,Main Match,396.0,"Myrtle Beach-Conway, SC-NC",,,
690,23860,"Georgetown, SC","Myrtle Beach, South Carolina Area","Myrtle Beach, South Carolina Area",0,0,CSA Match,396.0,"Myrtle Beach-Conway, SC-NC",,,
691,44940,"Sumter, SC","Sumter, South Carolina Area","Sumter, South Carolina Area",1,1,Main Match,,,,,
692,39660,"Rapid City, SD","Rapid City, South Dakota Area","Rapid City, South Dakota Area",1,1,Main Match,452.0,"Rapid City-Spearfish, SD",,,
693,43940,"Spearfish, SD","Rapid City, South Dakota Area","Rapid City, South Dakota Area",0,0,CSA Match,452.0,"Rapid City-Spearfish, SD",,,
694,38180,"Pierre, SD","Rapid City, South Dakota Area","Rapid City, South Dakota Area",0,0,Driving Distance,,,39660.0,"Rapid City, SD",167.93675
695,43620,"Sioux Falls, SD","Sioux Falls, South Dakota Area","Sioux Falls, South Dakota Area",1,1,Main Match,,,,,
696,15100,"Brookings, SD","Sioux Falls, South Dakota Area","Sioux Falls, South Dakota Area",0,0,Driving Distance,,,43620.0,"Sioux Falls, SD",72.701675
697,26700,"Huron, SD","Sioux Falls, South Dakota Area","Sioux Falls, South Dakota Area",0,0,Driving Distance,,,43620.0,"Sioux Falls, SD",122.96998
698,32140,"Marshall, MN","Sioux Falls, South Dakota Area","Sioux Falls, South Dakota Area",0,0,Driving Distance,,,43620.0,"Sioux Falls, SD",104.05669
699,33580,"Mitchell, SD","Sioux Falls, South Dakota Area","Sioux Falls, South Dakota Area",0,0,Driving Distance,,,43620.0,"Sioux Falls, SD",65.52235
700,47980,"Watertown, SD","Sioux Falls, South Dakota Area","Sioux Falls, South Dakota Area",0,0,Driving Distance,,,43620.0,"Sioux Falls, SD",128.7593
701,49380,"Worthington, MN","Sioux Falls, South Dakota Area","Sioux Falls, South Dakota Area",0,0,Driving Distance,,,43620.0,"Sioux Falls, SD",72.7576
702,49460,"Yankton, SD","Sioux Falls, South Dakota Area","Sioux Falls, South Dakota Area",0,0,Driving Distance,,,43620.0,"Sioux Falls, SD",61.945114
703,16860,"Chattanooga, TN-GA","Chattanooga, Tennessee Area","Chattanooga, Tennessee Area",1,1,Main Match,174.0,"Chattanooga-Cleveland-Dalton, TN-GA-AL",,,
704,17420,"Cleveland, TN","Chattanooga, Tennessee Area","Chattanooga, Tennessee Area",1,0,CSA Match,174.0,"Chattanooga-Cleveland-Dalton, TN-GA-AL",,,
705,19140,"Dalton, GA","Chattanooga, Tennessee Area","Chattanooga, Tennessee Area",1,0,CSA Match,174.0,"Chattanooga-Cleveland-Dalton, TN-GA-AL",,,
